,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting
74,Chemistry in a Nutshell,4710,70,396111,69,4,2,2025-02-05 13:56:44,https://www.youtube.com/watch?v=rHJ-O_xGgk0&ab_channel=ChemistryinaNutshell,19
75,CGP Grey,6660000,193,1125112498,2105590,134980,145,2025-01-28 21:45:11,https://www.youtube.com/watch?v=1K5oDtVAYzk&ab_channel=CGPGrey,27
76,CGP Grey,6660000,193,1125112498,300633,13610,28,2025-01-28 21:30:08,https://www.youtube.com/watch?v=lk4lBV5wgGM&ab_channel=CGPGrey,27
77,Khan Academy,8810000,8633,2153192649,6487,199,0,2025-02-05 08:00:48,https://www.youtube.com/watch?v=thXilnp5UNQ&ab_channel=KhanAcademy,19
78,Khan Academy,8810000,8633,2153192649,5173,128,0,2025-02-03 17:58:51,https://www.youtube.com/watch?v=NcrsPIv6NdI&ab_channel=KhanAcademy,21
79,Khan Academy,8810000,8633,2153192649,7334,180,0,2025-01-29 08:00:03,https://www.youtube.com/watch?v=36nlbUdRvUM&ab_channel=KhanAcademy,26
80,Khan Academy,8810000,8633,2153192649,11651,298,0,2025-01-22 08:00:15,https://www.youtube.com/watch?v=Jg3Fo4WD8XE&ab_channel=KhanAcademy,33
81,Khan Academy,8810000,8633,2153192649,11450,221,11,2025-01-17 17:46:30,https://www.youtube.com/watch?v=t4ODg51XNYk&ab_channel=KhanAcademy,38
82,Khan Academy,8810000,8633,2153192649,6075,96,15,2025-01-15 16:23:47,https://www.youtube.com/watch?v=kFmtXeKPId4&ab_channel=KhanAcademy,40
83,Khan Academy,8810000,8633,2153192649,2138,34,0,2025-01-15 13:24:11,https://www.youtube.com/watch?v=fS3TOHnUwdw&ab_channel=KhanAcademy,40
84,Khan Academy,8810000,8633,2153192649,2125,39,0,2025-01-15 13:23:18,https://www.youtube.com/watch?v=pq36jdgmuzw&ab_channel=KhanAcademy,40
85,Khan Academy,8810000,8633,2153192649,3576,62,0,2025-01-15 13:23:15,https://www.youtube.com/watch?v=hVlFzfHc3t0&ab_channel=KhanAcademy,40
86,Khan Academy,8810000,8633,2153192649,1621,34,0,2025-01-15 13:22:44,https://www.youtube.com/watch?v=N8P_IjvzGPY&ab_channel=KhanAcademy,40
87,Khan Academy,8810000,8633,2153192649,5647,137,0,2025-01-15 08:00:28,https://www.youtube.com/watch?v=KyBgxe-rU48&ab_channel=KhanAcademy,40
88,Khan Academy,8810000,8633,2153192649,3064,51,4,2025-01-14 22:38:51,https://www.youtube.com/watch?v=ClwmqcEewRc&ab_channel=KhanAcademy,41
89,Khan Academy,8810000,8633,2153192649,2047,34,0,2025-01-14 22:06:28,https://www.youtube.com/watch?v=Oa0u7ZsRhOw&ab_channel=KhanAcademy,41
90,Khan Academy,8810000,8633,2153192649,2445,49,0,2025-01-14 22:06:24,https://www.youtube.com/watch?v=ikw1-ZWf8qw&ab_channel=KhanAcademy,41
91,Khan Academy,8810000,8633,2153192649,2074,53,0,2025-01-14 22:03:14,https://www.youtube.com/watch?v=xUbgRHeCOyY&ab_channel=KhanAcademy,41
92,Khan Academy,8810000,8633,2153192649,1228,19,0,2025-01-14 21:53:43,https://www.youtube.com/watch?v=K-JL39rcJlA&ab_channel=KhanAcademy,41
93,Khan Academy,8810000,8633,2153192649,1335,21,1,2025-01-14 21:52:43,https://www.youtube.com/watch?v=uwjKRjIfxhE&ab_channel=KhanAcademy,41
94,Khan Academy,8810000,8633,2153192649,1391,22,1,2025-01-14 21:21:52,https://www.youtube.com/watch?v=L3eaXsALPAM&ab_channel=KhanAcademy,41
95,Khan Academy,8810000,8633,2153192649,1458,27,0,2025-01-14 21:10:25,https://www.youtube.com/watch?v=BjH-5npLi6s&ab_channel=KhanAcademy,41
96,Khan Academy,8810000,8633,2153192649,3084,104,5,2025-01-14 21:05:50,https://www.youtube.com/watch?v=K_3u0e3XwCQ&ab_channel=KhanAcademy,41
97,Khan Academy,8810000,8633,2153192649,2016,56,5,2025-01-14 20:37:14,https://www.youtube.com/watch?v=_11QgROQ9mY&ab_channel=KhanAcademy,41
98,Khan Academy,8810000,8633,2153192649,3778,79,6,2025-01-14 19:43:20,https://www.youtube.com/watch?v=JC24Qcpyn9E&ab_channel=KhanAcademy,41
99,Khan Academy,8810000,8633,2153192649,6809,161,0,2025-01-08 08:00:36,https://www.youtube.com/watch?v=gGalnVpaom8&ab_channel=KhanAcademy,47
100,Khan Academy,8810000,8633,2153192649,6666,170,0,2025-01-08 08:00:29,https://www.youtube.com/watch?v=PeNjuIQFd9U&ab_channel=KhanAcademy,47
101,Khan Academy,8810000,8633,2153192649,9420,104,11,2024-12-17 19:16:33,https://www.youtube.com/watch?v=7McrG9taZak&ab_channel=KhanAcademy,69
102,Khan Academy,8810000,8633,2153192649,5439,97,7,2024-12-16 05:00:02,https://www.youtube.com/watch?v=1noGzLswKNc&ab_channel=KhanAcademy,70
103,TED-Ed,21100000,2235,4210260903,186522,7517,479,2025-02-06 16:00:41,https://www.youtube.com/watch?v=dbXFXmSaoD4&ab_channel=TED-Ed,18
104,TED-Ed,21100000,2235,4210260903,576718,29987,549,2025-02-04 16:01:28,https://www.youtube.com/watch?v=kD3-DKkiVeA&ab_channel=TED-Ed,20
105,TED-Ed,21100000,2235,4210260903,179874,7283,425,2025-01-30 16:01:24,https://www.youtube.com/watch?v=d3RlT7qzAUE&ab_channel=TED-Ed,25
106,TED-Ed,21100000,2235,4210260903,210962,9144,347,2025-01-28 16:01:32,https://www.youtube.com/watch?v=Qxby1J5bnPQ&ab_channel=TED-Ed,27
107,TED-Ed,21100000,2235,4210260903,290412,12615,451,2025-01-23 16:01:54,https://www.youtube.com/watch?v=sbXie768ZZQ&ab_channel=TED-Ed,32
108,TED-Ed,21100000,2235,4210260903,332664,11137,311,2025-01-16 16:01:06,https://www.youtube.com/watch?v=puWumt39nak&ab_channel=TED-Ed,39
109,TED-Ed,21100000,2235,4210260903,811325,29726,748,2025-01-21 16:00:52,https://www.youtube.com/watch?v=EixIyh1gshM&ab_channel=TED-Ed,34
110,TED-Ed,21100000,2235,4210260903,533525,17078,723,2025-01-14 16:01:15,https://www.youtube.com/watch?v=w3d2DlLX7xw&ab_channel=TED-Ed,41
111,TED-Ed,21100000,2235,4210260903,421392,14051,308,2025-01-09 16:01:51,https://www.youtube.com/watch?v=qH0tUg4Enn0&ab_channel=TED-Ed,46
112,TED-Ed,21100000,2235,4210260903,206242,7863,198,2025-01-07 16:00:42,https://www.youtube.com/watch?v=HEpJBuPIb4o&ab_channel=TED-Ed,48
113,TED-Ed,21100000,2235,4210260903,5541569,177204,2892,2025-01-02 16:01:47,https://www.youtube.com/watch?v=eEWa7cpiyD8&ab_channel=TED-Ed,53
114,TED-Ed,21100000,2235,4210260903,881644,34326,698,2024-12-19 16:01:26,https://www.youtube.com/watch?v=kOVdiDUlNsg&ab_channel=TED-Ed,67
115,TED-Ed,21100000,2235,4210260903,322255,13037,351,2024-12-17 16:01:04,https://www.youtube.com/watch?v=qWG2f9DwwpY&ab_channel=TED-Ed,69
116,TED-Ed,21100000,2235,4210260903,366121,11168,255,2024-12-12 16:00:55,https://www.youtube.com/watch?v=Wb0UgdRFj2A&ab_channel=TED-Ed,74
117,BBC Earth,13400000,2971,5056423019,35200,654,26,2024-12-15 15:00:09,https://www.youtube.com/watch?v=7EG4cXQvko4&ab_channel=BBCEarth,71
