Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
Khan Academy,8810000,8633,2153192649,1228,19,0,2025-01-14T21:53:43Z,https://www.youtube.com/watch?v=K-JL39rcJlA&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,1335,21,1,2025-01-14T21:52:43Z,https://www.youtube.com/watch?v=uwjKRjIfxhE&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,1391,22,1,2025-01-14T21:21:52Z,https://www.youtube.com/watch?v=L3eaXsALPAM&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,1458,27,0,2025-01-14T21:10:25Z,https://www.youtube.com/watch?v=BjH-5npLi6s&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,3084,104,5,2025-01-14T21:05:50Z,https://www.youtube.com/watch?v=K_3u0e3XwCQ&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2016,56,5,2025-01-14T20:37:14Z,https://www.youtube.com/watch?v=_11QgROQ9mY&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,3778,79,6,2025-01-14T19:43:20Z,https://www.youtube.com/watch?v=JC24Qcpyn9E&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,6809,161,0,2025-01-08T08:00:36Z,https://www.youtube.com/watch?v=gGalnVpaom8&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,6666,170,0,2025-01-08T08:00:29Z,https://www.youtube.com/watch?v=PeNjuIQFd9U&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,9420,104,11,2024-12-17T19:16:33Z,https://www.youtube.com/watch?v=7McrG9taZak&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,5439,97,7,2024-12-16T05:00:02Z,https://www.youtube.com/watch?v=1noGzLswKNc&ab_channel=KhanAcademy
TED-Ed,21100000,2235,4210260903,186522,7517,479,2025-02-06T16:00:41Z,https://www.youtube.com/watch?v=dbXFXmSaoD4&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,576718,29987,549,2025-02-04T16:01:28Z,https://www.youtube.com/watch?v=kD3-DKkiVeA&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,179874,7283,425,2025-01-30T16:01:24Z,https://www.youtube.com/watch?v=d3RlT7qzAUE&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,210962,9144,347,2025-01-28T16:01:32Z,https://www.youtube.com/watch?v=Qxby1J5bnPQ&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,290412,12615,451,2025-01-23T16:01:54Z,https://www.youtube.com/watch?v=sbXie768ZZQ&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,332664,11137,311,2025-01-16T16:01:06Z,https://www.youtube.com/watch?v=puWumt39nak&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,811325,29726,748,2025-01-21T16:00:52Z,https://www.youtube.com/watch?v=EixIyh1gshM&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,533525,17078,723,2025-01-14T16:01:15Z,https://www.youtube.com/watch?v=w3d2DlLX7xw&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,421392,14051,308,2025-01-09T16:01:51Z,https://www.youtube.com/watch?v=qH0tUg4Enn0&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,206242,7863,198,2025-01-07T16:00:42Z,https://www.youtube.com/watch?v=HEpJBuPIb4o&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,5541569,177204,2892,2025-01-02T16:01:47Z,https://www.youtube.com/watch?v=eEWa7cpiyD8&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,881644,34326,698,2024-12-19T16:01:26Z,https://www.youtube.com/watch?v=kOVdiDUlNsg&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,322255,13037,351,2024-12-17T16:01:04Z,https://www.youtube.com/watch?v=qWG2f9DwwpY&ab_channel=TED-Ed
TED-Ed,21100000,2235,4210260903,366121,11168,255,2024-12-12T16:00:55Z,https://www.youtube.com/watch?v=Wb0UgdRFj2A&ab_channel=TED-Ed
BBC Earth,13400000,2971,5056423019,35200,654,26,2024-12-15T15:00:09Z,https://www.youtube.com/watch?v=7EG4cXQvko4&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,189996,2187,157,2024-12-22T23:59:00Z,https://www.youtube.com/watch?v=AqKyCYWdBAI&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,12102,303,11,2024-12-29T23:45:00Z,https://www.youtube.com/watch?v=1Mtm3TiUhts&ab_channel=BBCEarth
